sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,c_charge_degree,c_charge_desc,priors_count,two_year_recid
Male,69,Greater than 45,Other,0,0,0,F,Aggravated Assault w/Firearm,0,0
Male,34,25 - 45,African-American,0,0,0,F,Felony Battery w/Prior Convict,0,1
Male,24,Less than 25,African-American,0,0,1,F,Possession of Cocaine,4,1
Male,23,Less than 25,African-American,0,1,0,F,Possession of Cannabis,1,0
Male,43,25 - 45,Other,0,0,0,F,arrest case no charge,2,0
Male,44,25 - 45,Other,0,0,0,M,Battery,0,0
Male,41,25 - 45,Caucasian,0,0,0,F,Possession Burglary Tools,14,1
Male,43,25 - 45,Other,0,0,0,F,arrest case no charge,3,0
Female,39,25 - 45,Caucasian,0,0,0,M,Battery,0,0
Male,21,Less than 25,Caucasian,0,0,0,F,Insurance Fraud,1,1
Male,27,25 - 45,Caucasian,0,0,0,F,"Poss 3,4 MDMA (Ecstasy)",0,0
Male,23,Less than 25,African-American,0,0,0,M,Battery,3,1
Female,37,25 - 45,Caucasian,0,0,0,M,Battery,0,0
Male,41,25 - 45,African-American,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0,0
Female,47,Greater than 45,Caucasian,0,0,0,F,arrest case no charge,1,1
Male,31,25 - 45,African-American,0,0,0,F,Felony Driving While Lic Suspd,7,1
Male,37,25 - 45,Hispanic,0,0,0,M,Battery,0,0
Male,25,25 - 45,African-American,0,0,0,F,Grand Theft in the 3rd Degree,3,0
Male,31,25 - 45,Caucasian,0,0,0,F,Driving While License Revoked,6,1
Male,31,25 - 45,Caucasian,0,0,0,F,Possession Of Heroin,5,1
Male,64,Greater than 45,African-American,0,0,0,F,arrest case no charge,13,1
Male,21,Less than 25,African-American,0,0,0,F,Battery on Law Enforc Officer,1,1
Male,27,25 - 45,Caucasian,0,0,0,M,Possession Of Methamphetamine,0,1
Female,21,Less than 25,Caucasian,0,0,0,F,Introduce Contraband Into Jail,0,0
Male,24,Less than 25,Hispanic,0,0,0,F,Lewd/Lasc Battery Pers 12+/<16,1,1
Male,43,25 - 45,Caucasian,0,0,0,M,Susp Drivers Lic 1st Offense,1,0
Male,32,25 - 45,Other,0,0,0,M,Battery,0,0
Male,27,25 - 45,African-American,0,0,0,F,Carrying Concealed Firearm,8,1
Female,36,25 - 45,Caucasian,0,0,0,F,arrest case no charge,3,0
Male,26,25 - 45,African-American,0,0,1,F,Pos Cannabis W/Intent Sel/Del,5,1
Male,33,25 - 45,African-American,0,0,0,F,Tampering With Physical Evidence,0,1
Male,30,25 - 45,Caucasian,0,0,0,F,Felony Battery w/Prior Convict,9,1
Male,32,25 - 45,African-American,0,0,0,F,Att Tamper w/Physical Evidence,4,1
Male,55,Greater than 45,Caucasian,0,0,0,F,arrest case no charge,0,0
Male,49,Greater than 45,Other,0,0,0,F,Agg Fleeing and Eluding,7,1
Male,26,25 - 45,Caucasian,0,0,2,M,Operating W/O Valid License,6,0
Female,33,25 - 45,Caucasian,0,0,0,M,Battery,4,1
Male,24,Less than 25,Caucasian,0,0,0,M,Battery,1,1
Male,34,25 - 45,African-American,2,1,3,F,Poss Wep Conv Felon,21,1
